from_zone_id,to_zone_id,estimate_gamma,estimate_OD_flow,target_OD_split,VOT,theta_constant
1,4,0.14149876,24.12326,0.15640590451022107,1.0,-2.2230211e-10
1,10,0.28779784,49.0649,0.41966028223484186,0.007438754,-1.05752984e-11
1,14,0.2598261,44.296165,0.3233797921443108,0.9774424,5.580518e-12
1,19,0.14537233,24.783642,0.10055402111062625,0.7603677,-1.0685264e-10
2,4,0.116068915,22.681374,0.12490606124048517,1.0,-6.390542e-10
2,10,0.27685562,54.101185,0.40515504953030806,0.51876944,9.995217e-12
2,14,0.041933328,8.194317,0.06539195981994972,0.9047372,-2.2743857e-11
2,19,0.24156865,47.205654,0.40454692940925707,1.0,-3.4886774e-11
12,4,0.16015777,30.346386,0.13079525878343334,0.99673474,8.5652783e-11
12,10,0.108749114,20.605572,0.11472533566044063,1.0,1.9301635e-11
12,14,0.2130631,40.37079,0.45813076052984536,1.0,4.605049e-11
12,19,0.23270771,44.09301,0.29634864502628067,0.89713514,1.3272691e-10
13,4,0.06250613,12.296714,0.24608593174411594,0.40432885,-7.277408e-11
13,10,0.0011377303,0.22382355,0.30016218185488636,0.09259032,1.3696218e-10
13,14,0.042661864,8.392788,0.06203169343656697,1.0,-4.9228766e-10
13,19,0.07090295,13.948605,0.3917201929644306,0.7659847,1.009152e-12
18,4,0.39283997,71.195984,0.5834902686262329,-0.0005969302,-9.149377e-11
18,10,0.09943686,18.021345,0.117150535564253,1.0,-1.7378315e-10
18,14,0.09087964,16.470486,0.08499590985221687,0.8265538,-1.2137927e-10
18,19,0.1046489,18.965944,0.21436328595729726,0.33020902,-7.836354e-11
20,4,0.020436823,3.7496924,0.1704011686779763,0.05661972,-1.2191614e-10
20,10,0.23982295,44.00206,0.3035936437487197,0.3491241,-3.4208084e-10
20,14,0.12212385,22.40695,0.3435901314045999,0.29079077,-1.5360803e-10
20,19,0.13550591,24.862255,0.18241505616870418,1.0,-5.357867e-11
